run aouts_lambda aktt_lambda effect observed mean sd t_ratio
16 2.0 5.0 AltKTrianglesT.5. 72 25.748 8.580722 -5.390223 
16 2.0 5.0 AltOutStars.2. 1722.7 1675.955 73.26631 -0.6380136 
16 2.0 5.0 AltTwoPathsT.5. 384.2 290.802 48.2774 -1.934611 
16 2.0 5.0 Arc 1079 1055.03 41.94909 -0.5714069 
17 2.5 1.5 AltInStars.2. 634.698 649.9677 45.59247 0.3349169 
17 2.5 1.5 AltKTrianglesT.1.5. 69.6667 81.44997 18.52276 0.636151 
17 2.5 1.5 AltOutStars.2.5. 2064.05 2098.873 83.5011 0.4170376 
17 2.5 1.5 AltTwoPathsT.1.5. 380 405.7867 61.77909 0.4174011 
17 2.5 1.5 Arc 1079 1091.53 37.51187 0.3340276 
18 2.5 2.0 AltInStars.2. 634.698 642.4969 46.3987 0.1680836 
18 2.5 2.0 AltKTrianglesT.2. 70.5 70.67 26.67298 0.00637349 
18 2.5 2.0 AltOutStars.2.5. 2064.05 2085.748 87.01908 0.2493453 
18 2.5 2.0 AltTwoPathsT.2. 381.5 383.505 77.20781 0.02596887 
18 2.5 2.0 Arc 1079 1086.45 38.96654 0.1911897 
19 2.5 2.5 AltInStars.2. 634.698 627.5114 47.26225 -0.1520579 
19 2.5 2.5 AltKTrianglesT.2.5. 71 46.2096 16.74233 -1.480702 
19 2.5 2.5 AltOutStars.2.5. 2064.05 2045.568 86.3552 -0.2140184 
19 2.5 2.5 AltTwoPathsT.2.5. 382.4 329.7612 60.39499 -0.8715757 
19 2.5 2.5 Arc 1079 1071.86 38.22343 -0.1867964 
20 2.5 3.0 AltInStars.2. 634.698 622.3155 45.70864 -0.2709002 
20 2.5 3.0 AltKTrianglesT.3. 71.3333 44.81667 18.69697 -1.418232 
20 2.5 3.0 AltOutStars.2.5. 2064.05 2045.548 79.85004 -0.2317056 
20 2.5 3.0 AltTwoPathsT.3. 383 320.3801 64.5749 -0.9697254 
20 2.5 3.0 Arc 1079 1070.59 36.06814 -0.2331697 
21 2.5 3.5 AltInStars.2. 634.698 618.86 48.30899 -0.3278485 
21 2.5 3.5 AltKTrianglesT.3.5. 71.5714 33.34143 11.57276 -3.303445 
21 2.5 3.5 AltOutStars.2.5. 2064.05 2029.001 84.73902 -0.4136123 
21 2.5 3.5 AltTwoPathsT.3.5. 383.429 302.5922 51.11857 -1.581359 
21 2.5 3.5 Arc 1079 1066.17 38.39193 -0.3341848 
22 2.5 4.0 AltInStars.2. 634.698 609.6928 45.88433 -0.544961 
22 2.5 4.0 AltKTrianglesT.4. 71.75 30.0975 10.5759 -3.938436 
22 2.5 4.0 AltOutStars.2.5. 2064.05 2013.245 86.15929 -0.5896683 
22 2.5 4.0 AltTwoPathsT.4. 383.75 300.4975 53.41136 -1.558704 
22 2.5 4.0 Arc 1079 1059.23 38.4597 -0.5140446 
