nodeid EntryName
243 KPCE_HUMAN
244 KPCD_HUMAN
245 OPRM_HUMAN
246 KLHL3_HUMAN
247 ELNE_HUMAN
248 NHRF1_HUMAN
249 CTBP1_HUMAN
250 CTBP2_HUMAN
251 HDAC4_HUMAN
252 KAT2B_HUMAN
253 ZIC1_HUMAN
254 HGFL_HUMAN
255 ZIC2_HUMAN
256 SUFU_HUMAN
257 STK36_HUMAN
258 ZIC3_HUMAN
259 KLK2_HUMAN
260 TWST1_HUMAN
261 ERBB2_HUMAN
262 CDC16_HUMAN
263 FZR_HUMAN
264 CPNE1_HUMAN
265 CPNE2_HUMAN
266 CPNE4_HUMAN
267 ADA1D_HUMAN
268 KLK3_HUMAN
269 ZAP70_HUMAN
270 ITK_HUMAN
271 BLK_HUMAN
272 FA5_HUMAN
273 SH3K1_HUMAN
274 SCN5A_HUMAN
275 NCK1_HUMAN
276 SHIP2_HUMAN
277 UB2G1_HUMAN
278 DPOLA_HUMAN
279 SPY2_HUMAN
280 UB2D2_HUMAN
281 UB2G2_HUMAN
282 CD151_HUMAN
283 UB2L3_HUMAN
284 CTRC_HUMAN
285 SRBS1_HUMAN
286 SLAP2_HUMAN
287 PTN22_HUMAN
288 FRS2_HUMAN
289 IF2P_HUMAN
290 DNJC1_HUMAN
291 UBS3B_HUMAN
292 PGTB1_HUMAN
293 PDE6D_HUMAN
294 GDIR3_HUMAN
295 RHPN2_HUMAN
296 ARHG3_HUMAN
297 ROCK1_HUMAN
298 RTKN_HUMAN
299 CTRO_HUMAN
300 ATN1_HUMAN
301 RHOA_HUMAN
302 KCNA2_HUMAN
303 TGM2_HUMAN
304 FLNA_HUMAN
305 OPHN1_HUMAN
306 MCF2_HUMAN
307 KTN1_HUMAN
308 PKN1_HUMAN
309 DGKQ_HUMAN
310 KAPCA_HUMAN
311 TRIO_HUMAN
312 GDIR1_HUMAN
313 NEU2_HUMAN
314 WT1_HUMAN
315 PAXI1_HUMAN
316 SFRP2_HUMAN
317 HIRA_HUMAN
318 MEOX1_HUMAN
319 MEOX2_HUMAN
320 PAX5_HUMAN
321 MYB_HUMAN
322 ID3_HUMAN
323 IMA2_HUMAN,IMA1_HUMAN
324 IMA1_HUMAN,IMA5_HUMAN
325 DAXX_HUMAN
326 BCE1_HUMAN
327 NKX21_HUMAN
328 WBP2_HUMAN
329 PAX9_HUMAN
330 SRF_HUMAN
331 GTF2I_HUMAN
332 MAFG_HUMAN
333 MAFF_HUMAN
334 REG3A_HUMAN
335 PLS1_HUMAN
336 TRHDE_HUMAN
337 ANT3_HUMAN
338 SPG20_HUMAN
339 PTH1R_HUMAN
340 PTH2R_HUMAN
341 PCNA_HUMAN
342 SDC2_HUMAN
343 CDN1B_HUMAN
344 MYBB_HUMAN
345 CDK6_HUMAN
346 AKAP8_HUMAN
347 GSK3B_HUMAN
348 CCDB1_HUMAN
349 RBX1_HUMAN
350 THA_HUMAN
351 THB_HUMAN
352 ORC4_HUMAN
353 CUL3_HUMAN
354 HERC5_HUMAN
355 PLMN_HUMAN
356 MCM10_HUMAN
357 NPDC1_HUMAN
358 BMP4_HUMAN
359 PTHR_HUMAN
360 NHRF2_HUMAN
361 IMB1_HUMAN
362 CLUS_HUMAN
363 PLAK_HUMAN
364 THRB_HUMAN
365 TAP2_HUMAN
366 PDIA3_HUMAN
367 TPSN_HUMAN
368 KALRN_HUMAN
369 RASF9_HUMAN
370 UHMK1_HUMAN
371 VIME_HUMAN
372 DC1L1_HUMAN
373 PEX10_HUMAN
374 GTR4_HUMAN
375 APOA1_HUMAN
376 S10A1_HUMAN
377 S100B_HUMAN
378 PPR3A_HUMAN
379 SARCO_HUMAN
380 PA2GA_HUMAN
381 PGS1_HUMAN
382 PLAP_HUMAN
383 PGFRB_HUMAN
384 PGFRA_HUMAN
385 GBLP_HUMAN
386 SOS1_HUMAN
387 CD28_HUMAN
388 TF2H1_HUMAN
389 NTRK1_HUMAN
390 NTRK3_HUMAN
391 SYN1_HUMAN
392 PIPNA_HUMAN
393 DDR1_HUMAN
394 IRS2_HUMAN
395 PTPRJ_HUMAN
396 TUB_HUMAN
397 SOS2_HUMAN
398 DGKZ_HUMAN
399 FURIN_HUMAN
400 PLD2_HUMAN
401 PKN2_HUMAN
402 PICAL_HUMAN
403 DAB1_HUMAN
404 BAG3_HUMAN
405 GAB1_HUMAN
406 STAT2_HUMAN
407 AGAP2_HUMAN
408 VAV3_HUMAN
409 AP180_HUMAN
410 GIT1_HUMAN
411 USO1_HUMAN
412 NTAL_HUMAN
413 TNK1_HUMAN
414 TRPM7_HUMAN
415 SOCS7_HUMAN
416 TRPC3_HUMAN
417 NIT1_HUMAN
418 ZBT44_HUMAN
419 TTF2_HUMAN
420 PHKG1_HUMAN
421 FAF1_HUMAN
422 PIAS2_HUMAN
423 HERC1_HUMAN
424 PITX1_HUMAN
425 NR1I2_HUMAN
426 ANM1_HUMAN
427 NR1I3_HUMAN
428 ZMYM5_HUMAN
429 SETB1_HUMAN
430 RNAS1_HUMAN
431 PROC_HUMAN
432 UROK_HUMAN
433 FA10_HUMAN
434 MYOD1_HUMAN
435 CALX_HUMAN
436 HIPK1_HUMAN
437 APC_HUMAN
438 PTPRF_HUMAN
439 CADH1_HUMAN
440 DSC3_HUMAN
441 CTND1_HUMAN
442 CADH5_HUMAN
443 PKD1_HUMAN
444 INGR2_HUMAN
445 TF7L2_HUMAN
446 PTPRK_HUMAN
447 PKP2_HUMAN
448 PTN14_HUMAN
449 FBW1A_HUMAN
450 PAI1_HUMAN
451 TPA_HUMAN
452 IFNG_HUMAN
453 PRIO_HUMAN,APRIO_HUMAN,PRIO_HUMAN
454 SPRC_HUMAN
455 TETN_HUMAN
456 TSP1_HUMAN
457 CO7_HUMAN
458 JAK1_HUMAN
459 KNG1_HUMAN
460 A2AP_HUMAN
461 AMOT_HUMAN
462 LAMA3_HUMAN
463 NEUS_HUMAN
464 DEK_HUMAN
465 IC1_HUMAN
466 NGF_HUMAN
467 RUVB1_HUMAN
468 CDCP1_HUMAN
469 PR40A_HUMAN
470 CASP1_HUMAN
471 MMP3_HUMAN
472 VTNC_HUMAN
473 LRP2_HUMAN
474 LRP1B_HUMAN
475 YBOX1_HUMAN
476 IPSP_HUMAN
477 CKAP4_HUMAN
478 IRF3_HUMAN
479 SEPR_HUMAN
480 ARRC_HUMAN
481 RGS4_HUMAN
482 P53_HUMAN
483 ITB3_HUMAN
484 E2AK2_HUMAN
485 PTN1_HUMAN
486 PDGFB_HUMAN
487 COPB_HUMAN
488 SNX1_HUMAN
489 BAG1_HUMAN
490 GRB14_HUMAN
491 COPA_HUMAN
492 S1PR1_HUMAN
493 NCK2_HUMAN
494 PTN2_HUMAN
495 SNX2_HUMAN
496 SNX4_HUMAN
497 PDGFA_HUMAN
498 DUS3_HUMAN
499 WWP1_HUMAN
500 TRBM_HUMAN
501 WWP2_HUMAN
502 CXCR3_HUMAN
503 LDLR_HUMAN
504 PIR_HUMAN
505 TLN1_HUMAN
506 MAGI1_HUMAN
507 ITAV_HUMAN
508 EPS8_HUMAN
509 DAB2_HUMAN
510 ILK_HUMAN
511 LRP5_HUMAN
512 NUMB_HUMAN
513 PDPK1_HUMAN
514 ITA2B_HUMAN
515 CENPR_HUMAN
516 TENC1_HUMAN,TNS2_HUMAN
517 CITE2_HUMAN
518 CAV1_HUMAN
519 PDGFC_HUMAN
520 SNX6_HUMAN
521 ARH_HUMAN
522 MLL2_HUMAN,KMT2D_HUMAN
523 SF3B1_HUMAN
524 GP1BA_HUMAN
525 1433Z_HUMAN
526 CITE4_HUMAN
527 SELPL_HUMAN
528 LYAM3_HUMAN
529 SNX17_HUMAN
530 DYLT3_HUMAN
531 AP1M2_HUMAN
532 EPN2_HUMAN
533 PVRL1_HUMAN
534 PVRL3_HUMAN
535 CD226_HUMAN
536 PARP1_HUMAN
537 RXRA_HUMAN
538 RS3A_HUMAN
539 APOC1_HUMAN
540 XRCC1_HUMAN
541 TEN3_HUMAN
542 EXPH5_HUMAN
543 BUB3_HUMAN
544 APOD_HUMAN
545 ZN423_HUMAN
546 WRN_HUMAN
547 NCOA6_HUMAN
548 APTX_HUMAN
549 CD2A1_HUMAN,CDN2A_HUMAN,ARF_HUMAN
550 PARP2_HUMAN
551 SWP70_HUMAN
552 RBM14_HUMAN
553 APOF_HUMAN
554 RFX1_HUMAN
555 RAB3B_HUMAN
556 CCL5_HUMAN
557 AP1M1_HUMAN
558 MAN1_HUMAN
559 DIAP1_HUMAN
560 CO4A_HUMAN
561 TNNI3_HUMAN
562 TRPC1_HUMAN
563 HAX1_HUMAN
564 SSBP_HUMAN
565 KC1E_HUMAN
566 2A5A_HUMAN
567 KIFA3_HUMAN
568 SIAH1_HUMAN
569 PLTP_HUMAN
570 BUB1_HUMAN
571 MARE1_HUMAN
572 ARHG4_HUMAN
573 DLGP1_HUMAN
574 KCNQ1_HUMAN
575 KCNA4_HUMAN
576 PTPRA_HUMAN
577 KCAB1_HUMAN
578 KCAB2_HUMAN
579 KCNA5_HUMAN
580 KCNA3_HUMAN
581 MP2K4_HUMAN
582 PHLD_HUMAN
583 E4F1_HUMAN
584 DLG2_HUMAN
585 SNTG1_HUMAN
586 RET4_HUMAN
587 PRG2_HUMAN
588 SEBP2_HUMAN
589 VASP_HUMAN
590 DYN1_HUMAN
591 FHOD1_HUMAN
592 ARNT_HUMAN
593 CALR_HUMAN
594 MCAF1_HUMAN
595 DYN2_HUMAN
596 WASF1_HUMAN
597 WASL_HUMAN
598 RHOQ_HUMAN
599 FMNL_HUMAN,FMNL1_HUMAN
600 XPO6_HUMAN
601 ENAH_HUMAN
602 AB1IP_HUMAN
603 WIPF2_HUMAN
604 L1CAM_HUMAN
605 APBB1_HUMAN
606 PPIB_HUMAN
607 STIP1_HUMAN
608 SPRL1_HUMAN
609 PDIA1_HUMAN
610 CNTN1_HUMAN
611 OPCM_HUMAN
612 LSAMP_HUMAN
613 CSTN1_HUMAN
614 GRP78_HUMAN
615 RBL2_HUMAN
616 E2F1_HUMAN
617 SMCA2_HUMAN
618 M3K10_HUMAN
619 NCOR1_HUMAN
620 SMCA4_HUMAN
621 HSP71_HUMAN,HS71B_HUMAN
622 SIN3A_HUMAN
623 IBP7_HUMAN
624 SYTL4_HUMAN
625 TXD17_HUMAN
626 HS90A_HUMAN
627 RFC2_HUMAN
628 LIPC_HUMAN
629 CAF1A_HUMAN
630 ING1_HUMAN
631 CDC6_HUMAN
632 HUS1_HUMAN
633 RAD9A_HUMAN
634 POLH_HUMAN
635 DPOE1_HUMAN
636 MSH6_HUMAN
637 DCC1_HUMAN
638 DPOD2_HUMAN
639 PSA6_HUMAN
640 PROS_HUMAN
641 FA8_HUMAN
642 EPCR_HUMAN
643 GRN_HUMAN
644 SC61B_HUMAN
645 MACOI_HUMAN
646 DNJC3_HUMAN
647 CASP7_HUMAN
648 CASP8_HUMAN
649 AMPM2_HUMAN,MAP2_HUMAN
650 RAC1_HUMAN
651 M3K5_HUMAN
652 ASH2L_HUMAN
653 IKKB_HUMAN
654 TRBP2_HUMAN
655 TIRAP_HUMAN
656 TEBP_HUMAN
657 PP1G_HUMAN
658 P52K_HUMAN
659 S61A2_HUMAN
660 STRBP_HUMAN
661 PKRI1_HUMAN
662 PP1A_HUMAN
663 SMAD9_HUMAN
664 MP2K1_HUMAN
665 MYC_HUMAN
666 ARAF_HUMAN
667 KS6A2_HUMAN
668 TRAF3_HUMAN
669 M3K4_HUMAN
670 RYR2_HUMAN
671 SEMG2_HUMAN
672 PRKX_HUMAN
673 SRBP2_HUMAN
674 APEX1_HUMAN
675 DUS7_HUMAN
676 PTPRR_HUMAN
677 SYUG_HUMAN
678 KLF11_HUMAN
679 AN32A_HUMAN
680 PEA15_HUMAN
681 KS6A4_HUMAN
682 NEK2_HUMAN
683 STA5B_HUMAN
684 DYR1B_HUMAN
685 MKNK2_HUMAN
686 SET_HUMAN
687 UBR5_HUMAN
688 PEBP1_HUMAN
689 TPR_HUMAN
690 FHL3_HUMAN
691 TNIP1_HUMAN
692 MKNK1_HUMAN
693 ABCB7_HUMAN
694 APBA2_HUMAN
695 CO4A5_HUMAN
696 TNFA_HUMAN
697 A1AT_HUMAN
698 ITB2_HUMAN
699 CAMP_HUMAN
700 PRTN3_HUMAN
701 CCL3_HUMAN
702 PSB8_HUMAN
703 ODPX_HUMAN
704 CTR9_HUMAN
705 AFF1_HUMAN
706 PGTB2_HUMAN
707 TP4A2_HUMAN
708 SYF1_HUMAN
709 RAD18_HUMAN
710 SDCB1_HUMAN
711 RABE1_HUMAN
712 PRAF1_HUMAN
713 EEA1_HUMAN
714 RIN1_HUMAN
715 RAB37_HUMAN
716 US6NL_HUMAN
717 AL2CL_HUMAN
718 RIN2_HUMAN
719 RBNS5_HUMAN
720 RAB6A_HUMAN
721 SYEP_HUMAN
722 RFA1_HUMAN
723 FACD2_HUMAN
724 BRCA2_HUMAN
725 DMC1_HUMAN
726 R51A1_HUMAN
727 RAD54_HUMAN
728 DNJA3_HUMAN
729 BCCIP_HUMAN
730 RK_HUMAN
731 GRK6_HUMAN
732 GRK5_HUMAN
733 PTMA_HUMAN
734 KC1A_HUMAN
735 NUP98_HUMAN
736 RAN_HUMAN
737 RANG_HUMAN
738 H2B2E_HUMAN
739 IMA3_HUMAN,IMA4_HUMAN
740 XPO1_HUMAN
741 RANB3_HUMAN
742 H2A2A_HUMAN
743 RXFP2_HUMAN
744 RENR_HUMAN
745 PCSK5_HUMAN
746 DNJC7_HUMAN
747 RFA2_HUMAN
748 TBCD_HUMAN
749 RFA3_HUMAN
750 UNG_HUMAN
751 XPA_HUMAN
752 ORC2_HUMAN
753 CCNO_HUMAN
754 RAD52_HUMAN
755 MAT1_HUMAN
756 MDM4_HUMAN
757 RBBP9_HUMAN
758 RBBP7_HUMAN
759 RBBP4_HUMAN
760 SNW1_HUMAN
761 CBX4_HUMAN
762 NMDE2_HUMAN
763 PRKRA_HUMAN
764 UBP4_HUMAN
765 CCNT2_HUMAN
766 CCNA1_HUMAN
767 TRIPB_HUMAN
768 ENC1_HUMAN
769 P55G_HUMAN
770 TRAP1_HUMAN
771 FRK_HUMAN
772 TRAF1_HUMAN
773 NDC80_HUMAN
774 EID1_HUMAN
775 BRE1B_HUMAN
776 KDM5A_HUMAN
777 THOC1_HUMAN
778 MO4L1_HUMAN
779 ARI3B_HUMAN
780 CREG1_HUMAN
781 TRAF2_HUMAN
782 PELP1_HUMAN
783 AATF_HUMAN
784 HBP1_HUMAN
785 LIN9_HUMAN
786 RBAK_HUMAN
787 SMG1_HUMAN
788 HDAC2_HUMAN
789 SUV91_HUMAN
790 E2F4_HUMAN
791 UBF1_HUMAN
792 E2F5_HUMAN
793 TN13B_HUMAN
794 BRF2_HUMAN
795 NR1H2_HUMAN
796 NCOR2_HUMAN
797 TNF13_HUMAN
798 PPARG_HUMAN
799 PRS8_HUMAN
800 NR4A2_HUMAN
801 NCOA4_HUMAN
802 MK07_HUMAN
803 BRD8_HUMAN
804 TIF1A_HUMAN
805 MED1_HUMAN
806 ZNHI3_HUMAN
807 JHD2C_HUMAN
808 CIP4_HUMAN
809 CSN2_HUMAN
810 PRGC1_HUMAN
811 NR0B2_HUMAN
812 GA45G_HUMAN
813 MED24_HUMAN
814 UBE3A_HUMAN
815 IKBB_HUMAN
816 ADRB1_HUMAN
817 ANM2_HUMAN
818 NCOA2_HUMAN
819 NPAS2_HUMAN
820 EDF1_HUMAN
821 NSD1_HUMAN
822 TDIF2_HUMAN
823 NRBF2_HUMAN
824 RNF8_HUMAN
825 ZBT16_HUMAN
826 ARBK1_HUMAN
827 MECR_HUMAN
828 TAF11_HUMAN
829 HOP2_HUMAN
830 CLH1_HUMAN
831 NR2E3_HUMAN
832 AKP13_HUMAN
833 RARB_HUMAN
834 CSK_HUMAN
835 DIAP3_HUMAN
836 CP11A_HUMAN
837 CLPB_HUMAN
838 ANK1_HUMAN
839 CD47_HUMAN
840 TRY1_HUMAN
841 NU1M_HUMAN
842 CXCR2_HUMAN
843 ARRS_HUMAN
844 PP2AA_HUMAN
845 TAL2_HUMAN
846 TAL1_HUMAN
847 ISL1_HUMAN
848 LDB1_HUMAN
849 ELF2_HUMAN
850 RIR1_HUMAN
851 PDCD4_HUMAN
852 RLA2_HUMAN
853 SL9A5_HUMAN
854 SUMO2_HUMAN
855 RENT2_HUMAN
856 RIT1_HUMAN
857 RIT2_HUMAN
858 ACTN3_HUMAN
859 AP2B1_HUMAN
860 SUMO3_HUMAN
861 DDX17_HUMAN
862 NEDD8_HUMAN
863 DVL2_HUMAN
864 KCC2G_HUMAN
865 5HT1D_HUMAN
866 CYH2_HUMAN
867 GNAQ_HUMAN
868 STX1A_HUMAN
869 TGM1_HUMAN
870 TRFR_HUMAN
871 TNPO1_HUMAN
872 IPO7_HUMAN
873 IPO8_HUMAN
874 MET_HUMAN
875 SSRB_HUMAN
876 CSK21_HUMAN
877 EVPL_HUMAN
878 CCR8_HUMAN
879 RSMB_HUMAN
880 SMN_HUMAN
881 SKIV2_HUMAN
882 SMD3_HUMAN
883 SMD1_HUMAN
884 DLG1_HUMAN
885 CSK22_HUMAN
886 STXB2_HUMAN
887 ICLN_HUMAN
888 SPF30_HUMAN
889 TOP3B_HUMAN
