Locus_a,Symbol_a,Gene_ID_a,WormBase_ID_a,Locus_b,Symbol_b,Gene_ID_b,WormBase_ID_b,RSPGM_Score,Pubmed_ID,Author,BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
4R79.1,nas-6,181796,WBGene00003525,F44D12.4,gipc-2,177865,WBGene00009681,0.002691365,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
AC3.10,spe-10,3565514,WBGene00004964,AC3.3,abu-1,181800,WBGene00000024,0.009680748,19123269,"Simonis N, et al. (2009)",-,-,-,-,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,AC3.4,pqn-2,181801,WBGene00004098,0.016693014,14992718,"Tewari M, et al. (2004)",BioGRID,-,GeneOrienteer,IntAct,-,-,-
AC3.3,abu-1,181800,WBGene00000024,C03A7.14,abu-8,178904,WBGene00000031,0.1489387,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,C03A7.4,abu-15,182136,WBGene00004099,0.99121049,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
AC3.3,abu-1,181800,WBGene00000024,C05D2.1,daf-4,175781,WBGene00000900,0.38340023,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,C37C3.6,mig-6,179162,WBGene00003242,0.21766689,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,D1007.6,rps-10,172061,WBGene00004479,0.004368711,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AC3.3,abu-1,181800,WBGene00000024,F29G6.3,hpo-34,181340,WBGene00009259,0.20885373,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,H04J21.3,gip-1,175355,WBGene00001589,0.090135749,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AC3.3,abu-1,181800,WBGene00000024,R05F9.10,sgt-1,173846,WBGene00019893,0.19702328,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,T01D1.6,abu-11,173404,WBGene00000034,0.31110616,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
AC3.3,abu-1,181800,WBGene00000024,T23F1.6,pqn-71,188802,WBGene00004153,0.64170628,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AC3.3,abu-1,181800,WBGene00000024,W03F11.6,afd-1,171776,WBGene00021009,0.072392334,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
AC3.3,abu-1,181800,WBGene00000024,Y39B6A.1,-,180264,WBGene00012664,0.21502628,19123269,"Simonis N, et al. (2009)",-,-,-,-,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,Y39B6A.2,pph-5,180263,WBGene00012665,0.015607593,14992718,"Tewari M, et al. (2004)",-,-,-,IntAct,-,-,-
AC3.3,abu-1,181800,WBGene00000024,Y69H2.3,-,180221,WBGene00013481,0.99913497,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
AC3.3,abu-1,181800,WBGene00000024,ZK1067.7,abu-14,174464,WBGene00004174,0.8414261,14992718|19123269,"Tewari M, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,-,WI8,-
AC3.4,pqn-2,181801,WBGene00004098,H04J21.3,gip-1,175355,WBGene00001589,0.038543317,-,,-,-,GeneOrienteer,-,-,-,-
AC3.4,pqn-2,181801,WBGene00004098,T23F1.6,pqn-71,188802,WBGene00004153,0.019918553,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",-,-,GeneOrienteer,-,-,WI8,WormBase
AC3.5,-,179447,WBGene00007071,R09E12.3,sti-1,178587,WBGene00019983,0.006434321,19467242,"Song HO, et al. (2009)",-,-,-,IntAct,-,-,-
AC3.7,ugt-1,179449,WBGene00007072,Y40B10A.2,comt-3,189785,WBGene00021487,0.007252081,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
AC7.2,soc-2,177286,WBGene00004929,W07G4.5,-,179791,WBGene00012339,0.000745154,10615043|14704431|19123269,"Walhout AJ, et al. (2000)|Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,MINT,WI8,-
AC7.2,soc-2,177286,WBGene00004929,ZK792.6,let-60,178104,WBGene00002335,0.001007198,10615043|14704431|17897480|19123269,"Walhout AJ, et al. (2000)|Li S, et al. (2004)|Byrne AB, et al. (2007)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,MINT,WI8,-
AH6.2,sfxn-1.1,181807,WBGene00007080,F39H2.4,syp-3,172667,WBGene00006377,0.001166436,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AH6.5,mex-6,174504,WBGene00003231,C12D8.1,-,179423,WBGene00007534,0.080932995,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
AH6.5,mex-6,174504,WBGene00003231,C14C11.2,-,178953,WBGene00015766,0.008101622,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
AH6.5,mex-6,174504,WBGene00003231,F08C6.7,unc-98,181020,WBGene00006827,0.00360313,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,F14F3.1,vab-3,181251,WBGene00006870,0.2516397,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,F38C2.2,hlh-17,185460,WBGene00001961,0.001825859,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,F52E1.1,pos-1,179224,WBGene00004078,0.028762042,17028349,"Tenlen JR, et al. (2006)",-,-,GeneOrienteer,-,-,-,WormBase
AH6.5,mex-6,174504,WBGene00003231,F59B2.6,zif-1,176274,WBGene00006977,0.03466405,12894212,"DeRenzo C, et al. (2003)",-,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,K04H4.1,emb-9,176314,WBGene00001263,0.041093423,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
AH6.5,mex-6,174504,WBGene00003231,T11B7.4,alp-1,177701,WBGene00001132,0.1565792,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
AH6.5,mex-6,174504,WBGene00003231,T17H7.4,pat-12,175227,WBGene00003936,0.15389643,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AH6.5,mex-6,174504,WBGene00003231,T22H9.4,dmd-8,188771,WBGene00020708,0.050018044,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,W07B3.2,gei-4,175195,WBGene00001561,0.084964672,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
AH6.5,mex-6,174504,WBGene00003231,Y51H7C.6,cogc-4,173518,WBGene00021784,0.060774238,18692475,"Boxem M, et al. (2008)",-,-,-,-,MINT,-,-
AH6.5,mex-6,174504,WBGene00003231,Y54E10A.9,vbh-1,171888,WBGene00006888,0.064237284,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,Y73F8A.16,tbx-39,190678,WBGene00006558,0.027556593,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
AH6.5,mex-6,174504,WBGene00003231,ZC317.7,-,191143,WBGene00022590,0.008483166,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
AH6.7,sra-3,191774,WBGene00005029,T08G11.5,unc-29,172703,WBGene00006765,0.10637121,15990870,"Gottschalk A, et al. (2005)",-,-,-,IntAct,MINT,-,-
B0001.1,lin-24,178159,WBGene00003010,C45G3.1,aspm-1,172746,WBGene00008107,0.002859077,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0001.1,lin-24,178159,WBGene00003010,T26E3.3,par-6,173137,WBGene00003921,0.015851002,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
B0001.2,-,178164,WBGene00007087,F15B10.2,drh-1,177425,WBGene00001090,0.033904338,16439208,"Duchaine TF, et al. (2006)",-,-,-,IntAct,-,-,-
B0001.2,-,178164,WBGene00007087,T05C12.6,mig-5,174317,WBGene00003241,0.048638587,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
B0001.4,-,178160,WBGene00007089,F19B6.1,-,178181,WBGene00008948,0.4603847,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0001.6,eri-12,178166,WBGene00007091,C34F11.9,dsh-1,173894,WBGene00001101,0.010693114,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
B0001.6,eri-12,178166,WBGene00007091,C52A11.4,mpz-1,174657,WBGene00003404,0.007397283,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
B0001.7,-,178165,WBGene00007092,B0281.5,-,181899,WBGene00015112,0.000363996,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0001.7,-,178165,WBGene00007092,F37H8.1,lir-3,174707,WBGene00003046,0.000440061,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0019.2,-,173147,WBGene00007094,K01G5.4,ran-1,176503,WBGene00004302,0.02548982,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.1,col-149,179431,WBGene00000722,D1007.6,rps-10,172061,WBGene00004479,0.008054892,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.1,col-149,179431,WBGene00000722,W07B3.2,gei-4,175195,WBGene00001561,0.29948525,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.10,-,179435,WBGene00007100,C06A1.1,cdc-48.1,174624,WBGene00007352,0.013787354,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0024.11,-,179436,WBGene00007101,F10G7.4,scc-1,173808,WBGene00004737,0.004266318,11778048|14704431|19123269,"Boulton SJ, et al. (2002)|Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,-,GeneOrienteer,IntAct,MINT,WI8,-
B0024.11,-,179436,WBGene00007101,T08G11.5,unc-29,172703,WBGene00006765,0.35627278,15990870,"Gottschalk A, et al. (2005)",-,-,-,IntAct,MINT,-,-
B0024.12,gna-1,179437,WBGene00001646,B0365.1,acly-2,179795,WBGene00007150,0.006113938,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.12,gna-1,179437,WBGene00001646,C06E2.1,-,182319,WBGene00015527,0.002757086,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0024.12,gna-1,179437,WBGene00001646,C25F6.2,dlg-1,180819,WBGene00001006,0.02327999,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.12,gna-1,179437,WBGene00001646,C38D4.6,pal-1,175638,WBGene00003912,0.15121579,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.12,gna-1,179437,WBGene00001646,W02G9.2,kel-8,3565011,WBGene00020952,0.16495711,14704431,"Li S, et al. (2004)",-,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.12,gna-1,179437,WBGene00001646,W02G9.3,-,178732,WBGene00020953,0.12528774,14704431,"Li S, et al. (2004)",BioGRID,-,GeneOrienteer,-,-,-,-
B0024.14,crm-1,179439,WBGene00007103,B0228.1,-,181861,WBGene00015059,0.084440121,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0024.14,crm-1,179439,WBGene00007103,B0507.1,-,179256,WBGene00015218,0.10504471,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,C02C2.1,tyr-1,176105,WBGene00015332,0.09180666,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,C05G6.1,nhr-76,182276,WBGene00015497,0.040978788,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0024.14,crm-1,179439,WBGene00007103,C34G6.2,tyr-4,172263,WBGene00016419,0.007176067,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,C37C3.6,mig-6,179162,WBGene00003242,0.40737497,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,C52A11.4,mpz-1,174657,WBGene00003404,0.63767199,21110867,"Lenfant N, et al. (2010)",-,-,-,IntAct,-,-,-
B0024.14,crm-1,179439,WBGene00007103,C54D2.2,-,183777,WBGene00016916,0.022343974,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,DH11.5,-,3565199,WBGene00008438,0.15499766,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0024.14,crm-1,179439,WBGene00007103,F08C6.1,adt-2,181022,WBGene00000083,0.096045014,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F16B4.5,-,178647,WBGene00017507,0.00744045,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,F23B12.4,-,179944,WBGene00009081,0.11746982,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F29G6.3,hpo-34,181340,WBGene00009259,0.41252519,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F30H5.3,-,175207,WBGene00017937,0.60438314,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F41H10.8,elo-6,177321,WBGene00001244,0.036160119,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,F42D1.2,tatn-1,181574,WBGene00009628,0.014994618,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,F43G9.11,ces-1,185718,WBGene00000468,0.12862765,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F48E8.1,lon-1,175753,WBGene00003055,0.025329474,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F48G7.10,-,185998,WBGene00018621,0.066273429,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0024.14,crm-1,179439,WBGene00007103,F53A9.1,-,186142,WBGene00018724,0.022343974,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F53A9.2,-,186143,WBGene00018725,0.022343974,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F54A3.2,-,186196,WBGene00018781,0.022343974,14704431,"Li S, et al. (2004)",BioGRID,DIP,-,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,F54B11.7,-,186214,WBGene00010030,0.27382426,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F56B3.2,-,176902,WBGene00018928,0.013329988,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,F58E6.13,-,6418750,WBGene00077697,0.050342747,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,H04J21.3,gip-1,175355,WBGene00001589,0.19303397,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,K07C11.7,-,179200,WBGene00019479,0.010708918,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,K08E3.6,cyk-4,176815,WBGene00000875,0.003679672,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,K08E7.5,-,178211,WBGene00010673,0.11352226,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,R02F11.1,-,178870,WBGene00019839,0.46718961,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,R05G6.7,vdac-1,177524,WBGene00019900,0.093611595,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,T01B7.8,-,187933,WBGene00011313,0.041549102,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,T04C12.4,act-3,179533,WBGene00000065,0.04693694,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,T04C12.6,act-1,179535,WBGene00000063,0.047807254,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,-,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,T21B6.3,-,181284,WBGene00011880,0.11528768,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,T21D12.11,-,188694,WBGene00020650,0.20242689,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,T22F7.3,-,188757,WBGene00020702,0.022343974,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,T22H2.5,scrm-1,173053,WBGene00011935,0.70239126,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,W03G1.5,-,189167,WBGene00021011,0.316922,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,Y39B6A.1,-,180264,WBGene00012664,0.60469341,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,Y64G10A.7,-,178377,WBGene00013416,0.022343974,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,Y65B4A.7,-,190486,WBGene00022030,0.37937186,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,Y69H2.10,-,190560,WBGene00013485,0.33160383,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,Y69H2.3,-,180221,WBGene00013481,0.99999989,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,ZC434.2,rps-7,172901,WBGene00004476,0.029990492,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0024.14,crm-1,179439,WBGene00007103,ZK1067.7,abu-14,174464,WBGene00004174,0.98461207,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0024.14,crm-1,179439,WBGene00007103,ZK849.1,-,173288,WBGene00014100,0.80303128,14704431,"Li S, et al. (2004)",BioGRID,-,GeneOrienteer,-,-,-,-
B0024.14,crm-1,179439,WBGene00007103,ZK849.2,gopc-1,3565651,WBGene00014101,0.94822737,14704431,"Li S, et al. (2004)",-,DIP,-,IntAct,MINT,-,-
B0024.9,trx-2,179434,WBGene00007099,F12F6.7,-,178077,WBGene00008722,0.003687246,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0025.2,csn-2,172278,WBGene00000814,B0547.1,csn-5,177342,WBGene00000817,0.86742168,17403899,"Luke-Glaser S, et al. (2007)",BioGRID,-,-,-,-,-,-
B0025.2,csn-2,172278,WBGene00000814,K08F11.3,cif-1,177236,WBGene00019543,0.08519532,17403899,"Luke-Glaser S, et al. (2007)",BioGRID,-,-,-,-,-,-
B0025.2,csn-2,172278,WBGene00000814,T20G5.1,chc-1,176434,WBGene00011867,0.020728136,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
B0025.2,csn-2,172278,WBGene00000814,W04D2.1,atn-1,179709,WBGene00000228,0.2140191,18692475,"Boxem M, et al. (2008)",BioGRID,-,-,IntAct,MINT,-,-
B0025.2,csn-2,172278,WBGene00000814,Y38C1AA.2,csn-3,176834,WBGene00000815,0.10729488,12781129|17403899,"Pintard L, et al. (2003)|Luke-Glaser S, et al. (2007)",BioGRID,-,-,IntAct,-,-,-
B0025.2,csn-2,172278,WBGene00000814,Y54E10A.9,vbh-1,171888,WBGene00006888,0.032697839,18692475,"Boxem M, et al. (2008)",-,-,-,-,MINT,-,-
B0025.2,csn-2,172278,WBGene00000814,Y55F3AM.15,csn-4,176927,WBGene00000816,0.42349029,12781129|17403899|18692475,"Pintard L, et al. (2003)|Luke-Glaser S, et al. (2007)|Boxem M, et al. (2008)",BioGRID,-,-,IntAct,-,-,-
B0025.2,csn-2,172278,WBGene00000814,Y59A8A.1,csn-1,180168,WBGene00000813,0.13359855,12781129|14704431|17403899|18692475|19123269,"Pintard L, et al. (2003)|Li S, et al. (2004)|Luke-Glaser S, et al. (2007)|Boxem M, et al. (2008)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0025.2,csn-2,172278,WBGene00000814,Y67H2A.6,csn-6,178289,WBGene00000818,0.14146408,12781129|17403899,"Pintard L, et al. (2003)|Luke-Glaser S, et al. (2007)",BioGRID,-,-,IntAct,-,-,-
B0034.1,-,181817,WBGene00015002,F17E9.5,-,177629,WBGene00017542,0.021785264,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0034.1,-,181817,WBGene00015002,F25D7.1,cup-2,172915,WBGene00000843,0.007865195,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0034.1,-,181817,WBGene00015002,F45H10.4,drr-1,174994,WBGene00009741,0.001146451,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0034.1,-,181817,WBGene00015002,Y23H5A.4,spe-47,189522,WBGene00021271,0.005436944,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0034.1,-,181817,WBGene00015002,Y38C1AA.7,-,176830,WBGene00021398,0.014451989,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0034.3,casy-1,174006,WBGene00000403,C17F4.7,-,173668,WBGene00015913,0.000116064,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0034.3,casy-1,174006,WBGene00000403,R05F9.10,sgt-1,173846,WBGene00019893,0.12299671,14704431|19123269,"Li S, et al. (2004)|Simonis N, et al. (2009)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,WI8,WormBase
B0034.3,casy-1,174006,WBGene00000403,T19C3.8,fem-2,175217,WBGene00001412,0.006759542,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
B0035.1,-,178042,WBGene00007105,B0464.5,spk-1,176328,WBGene00004980,0.013947301,14704431,"Li S, et al. (2004)",BioGRID,DIP,GeneOrienteer,IntAct,MINT,-,-
B0035.1,-,178042,WBGene00007105,C49A1.4,eya-1,173293,WBGene00001377,0.086226608,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
B0035.1,-,178042,WBGene00007105,F29F11.5,ceh-22,179485,WBGene00000445,0.001640888,23791784,"Reece-Hoyes JS, et al. (2013)",-,-,-,IntAct,-,-,-
B0035.1,-,178042,WBGene00007105,K09B11.9,uso-1,178311,WBGene00010713,0.026349239,19123269,"Simonis N, et al. (2009)",-,-,-,IntAct,-,WI8,-
